club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
11688,giresunspor,Giresunspor,TR1,,17,22.5,1,5.9,1,Çotanak Spor Kompleksi,21500,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
1177,silkeborg-if,Silkeborg Idrætsforening,DK1,,27,24.4,7,25.9,1,JYSK Park,10000,+€2.84m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177
11831,club-atletico-tigre,Club Atlético Tigre,ARG1,,30,26.3,4,13.3,0,José Dellagiovanna,26282,+€915k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-tigre/startseite/verein/11831
118373,auckland-fc,Auckland Football Club,AUS1,,48,25.2,17,35.4,7,Mount Smart Stadium,25000,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/auckland-fc/startseite/verein/118373
1184,krc-genk,Koninklijke Racing Club Genk,BE1,,27,23.7,14,51.9,8,Cegeka Arena,23718,+€41.30m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/krc-genk/startseite/verein/1184
11854,junior-fc,Junior FC,COL1,,26,29.4,3,11.5,0,Metropolitano Roberto Meléndez,46692,+€4.95m,Arturo Reyes,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/junior-fc/startseite/verein/11854
1186,torpedo-moskau,Torpedo Moscow,RU1,,28,25.6,6,23.1,3,Luzhniki Stadium,81000,€-2.05m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
1191,falkirk-fc,Falkirk Football & Athletic Club,SC1,,24,26.8,3,12.5,1,The Falkirk Stadium,7937,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/falkirk-fc/startseite/verein/1191
12,as-rom,Associazione Sportiva Roma,IT1,,27,26.3,19,70.4,13,Olimpico di Roma,70634,€-24.45m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
120,kocaelispor,Kocaelispor Kulübü,TR1,,25,27.7,15,60.0,6,Turka Araç Muayene Kocaeli Stadyumu,34829,€-524k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kocaelispor/startseite/verein/120
121,dinamo-moskau,FK Dinamo Moskva,RU1,,30,25.8,13,43.3,13,VTB-Arena,25716,€-14.19m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121
1210,as-livorno,US Livorno 1915,IT1,,29,24.1,5,17.2,0,Armando Picchi,19238,+-0,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
12179,independiente-rivadavia,Club Sportivo Independiente Rivadavia,ARG1,,29,26.6,5,17.2,1,Bautista Gargantini,24000,€-3.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-rivadavia/startseite/verein/12179
122,sk-sturm-graz,Sportklub Puntigamer Sturm Graz,A1,,26,24.3,16,61.5,9,Merkur Arena,16364,+€3.33m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sk-sturm-graz/startseite/verein/122
12301,club-atletico-aldosivi,Club Atlético Aldosivi,ARG1,,31,27.7,5,16.1,0,José María Minella,35180,+€2.56m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-aldosivi/startseite/verein/12301
12321,fc-girona,Girona Fútbol Club S. A. D.,ES1,,27,28.7,14,51.9,6,Montilivi,14624,+€29.15m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girona/startseite/verein/12321
1234,club-atletico-independiente,Club Atlético Independiente de Avellaneda,ARG1,,26,28.0,7,26.9,6,Libertadores de América-Ricardo Enrique Bochini,48069,€-1.86m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-independiente/startseite/verein/1234
1236,osters-if,Östers IF,SE1,,25,24.5,8,32.0,1,Spiris Arena,12000,+€2.97m,Martin Foyston,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/osters-if/startseite/verein/1236
1237,brighton-amp-hove-albion,Brighton and Hove Albion Football Club,GB1,,33,26.5,22,66.7,17,AMEX Stadium,31876,+€63.15m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
124,glasgow-rangers,Rangers Football Club,SC1,,26,25.2,18,69.2,13,Ibrox Stadium,50987,€-16.46m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124
1241,livingston-fc,Livingston Football Club,SC1,,33,28.8,17,51.5,2,Home of the Set Fare Arena,9512,+€15k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/livingston-fc/startseite/verein/1241
