team,team_code,page,squad_number,position,player_name,first_names,last_names,name_on_shirt,dob,age_on_2026_06_11,club,height_cm,caps,goals
Australia,AUS,3,13,MF,ONEILL Aiden,Aiden Connor,O'NEILL,O'NEILL,04/07/1998,27,New York City FC (USA),180,31,0
Australia,AUS,3,14,MF,DEVLIN Cameron,Cameron Peter,DEVLIN,DEVLIN,07/06/1998,28,Heart Of Midlothian FC (SCO),170,5,0
Australia,AUS,3,15,DF,TREWIN Kai,Kai Clifton,TREWIN,TREWIN,18/05/2001,25,New York City FC (USA),183,6,0
Australia,AUS,3,16,DF,BEHICH Aziz,Aziz,BEHICH,BEHICH,16/12/1990,35,Melbourne City FC (AUS),170,84,3
Australia,AUS,3,17,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,IRANKUNDA,09/02/2006,20,Watford FC (ENG),165,15,5
Australia,AUS,3,18,GK,BEACH Patrick,Patrick Thomas,BEACH,BEACH,06/08/2003,22,Melbourne City FC (AUS),189,2,0
Australia,AUS,3,19,DF,SOUTTAR Harry,Harry James,SOUTTAR,SOUTTAR,22/10/1998,27,Leicester City FC (ENG),198,38,11
Australia,AUS,3,20,FW,VOLPATO Cristian,Cristian,VOLPATO,VOLPATO,15/11/2003,22,US Sassuolo (ITA),187,1,0
Australia,AUS,3,21,DF,BURGESS Cameron,Cameron Robert,BURGESS,BURGESS,21/10/1995,30,Swansea City AFC (WAL),194,27,0
Australia,AUS,3,22,MF,IRVINE Jackson,Jackson Alexander,IRVINE,IRVINE,07/03/1993,33,FC St. Pauli (GER),189,82,14
Australia,AUS,3,23,FW,VELUPILLAY Nishan,Nishan Matthew,VELUPILLAY,VELUPILLAY,07/05/2001,25,Melbourne Victory FC (AUS),181,7,3
Australia,AUS,3,24,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER,24/01/2005,21,Sydney FC (AUS),185,6,0
Australia,AUS,3,25,DF,HERRINGTON Lucas,Lucas,HERRINGTON,HERRINGTON,05/09/2007,18,Colorado Rapids (USA),193,4,0
Australia,AUS,3,26,FW,YENGI Tete,Tete Owen,YENGI,YENGI,28/11/2000,25,FC Machida Zelvia (JPN),197,1,1
Austria,AUT,4,1,GK,SCHLAGER Alexander,Alexander,SCHLAGER,SCHLAGER,01/02/1996,30,FC Red Bull Salzburg (AUT),188,26,0
Austria,AUT,4,2,DF,AFFENGRUBER David,David Leopold,AFFENGRUBER,AFFENGRUBER,19/03/2001,25,Elche CF (ESP),185,1,0
Austria,AUT,4,3,DF,DANSO Kevin,Kevin,DANSO,DANSO,19/09/1998,27,Tottenham Hotspur FC (ENG),190,32,0
Austria,AUT,4,4,MF,SCHLAGER Xaver,Xaver,SCHLAGER,XAVER,28/09/1997,28,RB Leipzig (GER),174,51,4
Austria,AUT,4,5,DF,POSCH Stefan,Stefan,POSCH,POSCH,14/05/1997,29,1. FSV Mainz 05 (GER),188,52,5
Austria,AUT,4,6,MF,SEIWALD Nicolas,Nicolas,SEIWALD,SEIWALD,04/05/2001,25,RB Leipzig (GER),179,47,1
Austria,AUT,4,7,FW,ARNAUTOVIC Marko,Marko,ARNAUTOVIC,ARNAUTOVIC,19/04/1989,37,FK Crvena Zvezda (SRB),192,133,47
Austria,AUT,4,8,DF,ALABA David,David,ALABA,ALABA,24/06/1992,33,Real Madrid C. F. (ESP),180,113,15
Austria,AUT,4,9,MF,SABITZER Marcel,Marcel,SABITZER,SABITZER,17/03/1994,32,Borussia Dortmund (GER),178,98,26
Austria,AUT,4,10,MF,GRILLITSCH Florian,Florian,GRILLITSCH,GRILLITSCH,07/08/1995,30,SC Braga (POR),186,59,1
Austria,AUT,4,11,FW,GREGORITSCH Michael,Michael,GREGORITSCH,GREGORITSCH,18/04/1994,32,FC Augsburg (GER),193,75,24
Austria,AUT,4,12,GK,WIEGELE Florian,Florian,WIEGELE,WIEGELE,21/03/2001,25,FC Viktoria Plzeň (CZE),205,1,0
Austria,AUT,4,13,GK,PENTZ Patrick,Patrick,PENTZ,PENTZ,02/01/1997,29,Brøndby IF (DEN),183,18,0
Austria,AUT,4,14,FW,KALAJDZIC Sasa,Saša,KALAJDŽIĆ,KALAJDZIC,07/07/1997,28,LASK Linz (AUT),200,22,4
Austria,AUT,4,15,DF,LIENHART Philipp,Philipp,LIENHART,LIENHART,11/07/1996,29,SC Freiburg (GER),189,41,3
Austria,AUT,4,16,DF,MWENE Phillip,Phillip,MWENE,MWENE,29/01/1994,32,1. FSV Mainz 05 (GER),170,30,0
Austria,AUT,4,17,MF,CHUKWUEMEKA Carney,Carney Chibueze,CHUKWUEMEKA,CHUKWUEMEKA,20/10/2003,22,Borussia Dortmund (GER),187,3,1
Austria,AUT,4,18,MF,SCHMID Romano,Romano,SCHMID,SCHMID,27/01/2000,26,SV Werder Bremen (GER),168,34,3
Austria,AUT,4,19,MF,LJUBICIC Dejan,Dejan,LJUBIČIĆ,LJUBICIC,08/10/1997,28,FC Schalke 04 (GER),187,9,1
Austria,AUT,4,20,MF,LAIMER Konrad,Konrad,LAIMER,LAIMER,27/05/1997,29,FC Bayern München (GER),180,57,7
Austria,AUT,4,21,FW,WIMMER Patrick,Patrick,WIMMER,WIMMER,30/05/2001,25,VfL Wolfsburg (GER),182,30,1
Austria,AUT,4,22,MF,PRASS Alexander,Alexander,PRASS,PRASS,26/05/2001,25,TSG Hoffenheim (GER),180,19,0
